,Id,Title,Year,ImdbLink,IMDBScore,FirstGenre,SecondGenre,ThirdGenre,Director,FirstLeadingActor,SecondLeadingActor,ThirdLeadingActor,Poster
0,0,Toy Story (1995),1995,http://www.imdb.com/title/tt0114709,8.3,Animation,Adventure,Comedy,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL_.jpg"
1,1,Jumanji (1995),1995,http://www.imdb.com/title/tt0113497,6.9,Action,Adventure,Family,Joe Johnston,Robin Williams,Kirsten Dunst,Bonnie Hunt,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
2,2,Waiting to Exhale (1995),1995,http://www.imdb.com/title/tt0114885,5.7,Comedy,Drama,Romance,Forest Whitaker,Whitney Houston,Angela Bassett,Loretta Devine,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTMyMTgyM15BMl5BanBnXkFtZTcwOTc4OTQyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
3,3,Father of the Bride Part II (1995),1995,http://www.imdb.com/title/tt0113041,5.9,Comedy,Family,Romance,Charles Shyer,Steve Martin,Diane Keaton,Martin Short,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
4,4,Heat (1995),1995,http://www.imdb.com/title/tt0113277,8.2,Action,Crime,Drama,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGMwNzUwNjYtZWM5NS00YzMyLWI4NjAtNjM0ZDBiMzE1YWExXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
5,5,Sudden Death (1995),1995,http://www.imdb.com/title/tt0114576,5.7,Action,Crime,Thriller,Peter Hyams,Jean-Claude Van Damme,Powers Boothe,Raymond J. Barry,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY268_CR0,0,182,268_AL_.jpg"
6,6,GoldenEye (1995),1995,http://www.imdb.com/title/tt0113189,7.2,Action,Adventure,Thriller,Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
7,7,The American President (1995),1995,http://www.imdb.com/title/tt0112346,6.8,Comedy,Drama,Romance,Rob Reiner,Michael Douglas,Annette Bening,Martin Sheen,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_UY268_CR4,0,182,268_AL_.jpg"
8,8,Cutthroat Island (1995),1995,http://www.imdb.com/title/tt0112760,5.6,Action,Adventure,Comedy,Renny Harlin,Geena Davis,Matthew Modine,Frank Langella,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
9,9,Ace Ventura: When Nature Calls (1995),1995,http://www.imdb.com/title/tt0112281,6.3,Adventure,Comedy,Crime,Steve Oedekerk,Jim Carrey,Ian McNeice,Simon Callow,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
10,10,Money Train (1995),1995,http://www.imdb.com/title/tt0113845,5.6,Action,Comedy,Crime,Joseph Ruben,Wesley Snipes,Woody Harrelson,Jennifer Lopez,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDEwNzcyNjkzNl5BMl5BanBnXkFtZTcwNzQyMzYxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
11,11,Assassins (1995),1995,http://www.imdb.com/title/tt0112401,6.3,Action,Crime,Thriller,Richard Donner,Sylvester Stallone,Antonio Banderas,Julianne Moore,"https://images-na.ssl-images-amazon.com/images/M/MV5BMGY2OWI5ZjQtYjY0Zi00Y2M4LWEwMmMtOTJhODYxYTExNWZlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
12,12,Now and Then (1995),1995,http://www.imdb.com/title/tt0114011,6.8,Comedy,Drama,Romance,Lesli Linka Glatter,Christina Ricci,Demi Moore,Rosie O'Donnell,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_UX182_CR0,0,182,268_AL_.jpg"
13,13,Babe (1995),1995,http://www.imdb.com/title/tt0112431,6.8,Comedy,Drama,Family,Chris Noonan,James Cromwell,Magda Szubanski,Christine Cavanaugh,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
14,14,Carrington (1995),1995,http://www.imdb.com/title/tt0112637,6.9,Biography,Drama,Romance,Christopher Hampton,Emma Thompson,Jonathan Pryce,Steven Waddington,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjQ3MTBkNDEtMGRlZS00OTY0LTkzYjktOWU2MzI3ZDRiMjY5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
15,15,It Takes Two (1995),1995,http://www.imdb.com/title/tt0113442,5.7,Comedy,Family,Romance,Andy Tennant,Kirstie Alley,Steve Guttenberg,Mary-Kate Olsen,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
16,16,Restoration (1995),1995,http://www.imdb.com/title/tt0114272,6.7,Biography,Drama,History,Michael Hoffman,Robert Downey Jr.,Sam Neill,David Thewlis,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5ODY5MTU5OF5BMl5BanBnXkFtZTYwNjcwNTY5._V1_UY268_CR1,0,182,268_AL_.jpg"
17,17,Mortal Kombat (1995),1995,http://www.imdb.com/title/tt0113855,5.8,Action,Adventure,Fantasy,Paul W.S. Anderson,Christopher Lambert,Robin Shou,Linden Ashby,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzJhYjYxMTctNmY4My00NGIzLThmN2MtYjgwMjlmZWNjMTJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
18,18,To Die For (1995),1995,http://www.imdb.com/title/tt0114681,6.8,Comedy,Crime,Drama,Gus Van Sant,Nicole Kidman,Matt Dillon,Joaquin Phoenix,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
19,19,Se7en (1995),1995,http://www.imdb.com/title/tt0114369,8.6,Crime,Drama,Mystery,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
20,20,Pocahontas (1995),1995,http://www.imdb.com/title/tt0114148,6.7,Animation,Adventure,Drama,Mike Gabriel,Mel Gibson,Linda Hunt,Christian Bale,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
21,21,The Usual Suspects (1995),1995,http://www.imdb.com/title/tt0114814,8.6,Crime,Drama,Mystery,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzI1MjI5MDQyOV5BMl5BanBnXkFtZTcwNzE4Mjg3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
22,22,Mighty Aphrodite (1995),1995,http://www.imdb.com/title/tt0113819,7.1,Comedy,Fantasy,Romance,Woody Allen,Woody Allen,Mira Sorvino,Pamela Blair,"https://images-na.ssl-images-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg"
23,23,Home for the Holidays (1995),1995,http://www.imdb.com/title/tt0113321,6.6,Comedy,Drama,Romance,Jodie Foster,Holly Hunter,Anne Bancroft,Robert Downey Jr.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTMyNzU4MV5BMl5BanBnXkFtZTcwMzIwMDkxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
24,24,Il Postino: The Postman (1994),1994,http://www.imdb.com/title/tt0110877,7.7,Biography,Comedy,Drama,Michael Radford,Massimo Troisi,Philippe Noiret,Maria Grazia Cucinotta,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5NDI4NjQyOV5BMl5BanBnXkFtZTYwODI1NDE5._V1_UY268_CR3,0,182,268_AL_.jpg"
25,25,The Indian in the Cupboard (1995),1995,http://www.imdb.com/title/tt0113419,5.9,Drama,Family,Fantasy,Frank Oz,Hal Scardino,Litefoot,Lindsay Crouse,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0NjQ5NzQxMl5BMl5BanBnXkFtZTcwMDc5NjUyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
26,26,Two If by Sea (1996),1996,http://www.imdb.com/title/tt0118002,5.2,Comedy,Crime,Romance,Bill Bennett,Sandra Bullock,Denis Leary,Stephen Dillane,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5MDcxNjY5MV5BMl5BanBnXkFtZTYwNDMxMTk5._V1_UX182_CR0,0,182,268_AL_.jpg"
27,27,From Dusk Till Dawn (1996),1996,http://www.imdb.com/title/tt0116367,7.3,Action,Crime,Horror,Robert Rodriguez,Harvey Keitel,George Clooney,Juliette Lewis,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
28,28,Fair Game (1995),1995,http://www.imdb.com/title/tt0113010,4.1,Action,Crime,Romance,Andrew Sipes,William Baldwin,Cindy Crawford,Steven Berkoff,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NjM0MDI1OF5BMl5BanBnXkFtZTcwMDQ1ODMyMQ@@._V1_UY268_CR11,0,182,268_AL_.jpg"
29,29,Kicking and Screaming (1995),1995,http://www.imdb.com/title/tt0113537,7,Comedy,Drama,Romance,Noah Baumbach,Josh Hamilton,Eric Stoltz,Samuel Gould,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMjkwMzE4Nl5BMl5BanBnXkFtZTcwNzY0NzMzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
30,30,Dunston Checks In (1996),1996,http://www.imdb.com/title/tt0116151,5.3,Comedy,Adventure,Family,Ken Kwapis,Jason Alexander,Faye Dunaway,Eric Lloyd,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2RhOTA4YzAtNTg3NC00NmYxLWI1YjQtYzM4NTJlYzVhZGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
31,31,Mary Reilly (1996),1996,http://www.imdb.com/title/tt0117002,5.8,Drama,Horror,Romance,Stephen Frears,Julia Roberts,John Malkovich,George Cole,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MzEzNTc2NF5BMl5BanBnXkFtZTYwNTI5NjU5._V1_UY268_CR0,0,182,268_AL_.jpg"
32,32,Beautiful Girls (1996),1996,http://www.imdb.com/title/tt0115639,7.2,Comedy,Drama,Romance,Ted Demme,Matt Dillon,Timothy Hutton,Noah Emmerich,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NjU0NDM0NV5BMl5BanBnXkFtZTYwODU5MjY5._V1_UY268_CR2,0,182,268_AL_.jpg"
33,33,Broken Arrow (1996),1996,http://www.imdb.com/title/tt0115759,6,Action,Crime,Thriller,John Woo,John Travolta,Christian Slater,Samantha Mathis,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NTQzMDQwMF5BMl5BanBnXkFtZTYwOTQ1OTk4._V1_UY268_CR3,0,182,268_AL_.jpg"
34,34,Bottle Rocket (1996),1996,http://www.imdb.com/title/tt0115734,7.1,Comedy,Crime,Drama,Wes Anderson,Luke Wilson,Owen Wilson,Ned Dowd,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NDY4Mzc1Nl5BMl5BanBnXkFtZTcwNzUyNDk5MQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
35,35,Unforgettable (1996),1996,http://www.imdb.com/title/tt0118040,6,Drama,Mystery,Sci-Fi,John Dahl,Ray Liotta,Linda Fiorentino,Peter Coyote,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MjA4MzIxMV5BMl5BanBnXkFtZTcwMTg3Mjg3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
